iid,gender,wave,round,partner,pid,match,int_corr,samerace,age_o,race_o,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,race,imprace,imprelig,originally_from,zipcode,income,goal,date,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
2,0,1,10,3,13,0,0.1,0,22,4,1,10,10,10,10,10,10,10,10,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
2,0,1,10,4,14,1,-0.21,1,23,2,1,9,9,9,9,9,9,9,7,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
2,0,1,10,5,15,0,0.32,0,24,3,1,10,10,10,10,7,8,10,1,1,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
2,0,1,10,6,16,0,0.73,1,25,2,1,7,8,7,5,7,7,7,5,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
2,0,1,10,7,17,0,0.6,1,30,2,0,5,3,4,3,5,3,4,3,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
2,0,1,10,8,18,0,0.07,1,27,2,1,7,7,7,7,7,5,7,6,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
2,0,1,10,9,19,1,0.11,1,28,2,1,8,6,9,9,8,7,8,8,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
2,0,1,10,10,20,0,0.39,1,24,2,0,6,5,7,7,9,7,6,9,2,24,law,2,2,5,Alabama,35223,65929,1,5,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5
3,0,1,10,1,11,0,-0.24,1,27,2,0,7,8,6,5,8,4,5,2,1,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,2,12,0,-0.14,1,22,2,0,6,7,10,6,6,5,7,3,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,3,13,0,0.09,0,22,4,1,10,10,10,10,10,10,10,10,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,4,14,0,-0.04,1,23,2,1,7,9,8,8,8,8,7,7,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,5,15,0,-0.14,0,24,3,1,6,10,8,6,,,6,1,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,6,16,0,-0.3,1,25,2,1,7,6,6,6,6,6,6,7,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,7,17,0,-0.26,1,30,2,0,6,3,5,4,5,4,2,2,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,8,18,0,0.29,1,27,2,0,4,5,6,4,6,4,5,1,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,9,19,0,-0.15,1,28,2,1,7,7,6,8,7,7,7,7,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
3,0,1,10,10,20,0,-0.47,1,24,2,0,5,6,8,5,8,6,5,5,2,25,Economics,2,8,4,Connecticut,6268,,6,3,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,35,10,35,10,10,0
4,0,1,10,1,11,0,-0.18,1,27,2,0,6,7,8,7,7,5,6,3,2,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,2,12,0,-0.18,1,22,2,0,6,5,10,6,6,5,6,3,1,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,3,13,0,0.05,0,22,4,1,10,10,10,10,10,10,10,10,,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,4,14,1,-0.18,1,23,2,1,7,7,7,9,9,9,8,10,1,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,5,15,0,0.21,0,24,3,1,8,8,9,8,8,9,9,7,2,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,6,16,0,0.37,1,25,2,1,6,6,7,7,8,7,6,6,2,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,7,17,0,0.35,1,30,2,1,7,6,3,5,6,5,6,4,2,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,8,18,0,0.15,1,27,2,0,6,7,8,6,6,5,7,7,2,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,9,19,1,-0.47,1,28,2,1,7,7,7,10,9,10,8,8,2,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
4,0,1,10,10,20,0,-0.19,1,24,2,0,7,8,8,7,8,7,7,7,2,23,Law,2,1,1,Texas,77096,37754,1,5,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,20,20,20,20,10,10
5,0,1,10,1,11,0,-0.43,1,27,2,0,6,8,8,8,7,6,6,5,2,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,2,12,0,0,1,22,2,0,6,7,10,7,6,5,7,4,1,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,3,13,0,-0.17,0,22,4,1,10,10,10,10,10,10,10,10,1,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,4,14,1,0.08,1,23,2,1,6,8,6,8,10,10,7,7,1,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,5,15,0,-0.16,0,24,3,0,5,9,9,7,9,5,5,7,2,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,6,16,0,0.06,1,25,2,0,5,8,7,7,7,7,6,7,2,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,7,17,0,-0.05,1,30,2,0,2,3,4,4,5,3,3,3,2,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,8,18,0,0.07,1,27,2,0,5,5,6,5,5,5,6,5,2,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,9,19,1,-0.13,1,28,2,1,5,9,9,9,9,6,7,7,2,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
5,0,1,10,10,20,0,-0.06,1,24,2,0,3,10,7,7,10,5,4,10,2,21,Law,2,8,1,Bowdoin College,94022,86340,2,4,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,20,5,25,25,10,15
6,0,1,10,1,11,0,0.33,0,27,2,0,7,9,8,9,8,4,7,4,2,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,2,12,0,0.37,0,22,2,0,6,8,10,6,7,6,7,4,2,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,3,13,0,-0.51,1,22,4,1,10,10,10,10,10,10,10,10,1,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,4,14,1,0.12,0,23,2,1,6,8,8,7,9,8,7,7,2,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,5,15,0,0.35,0,24,3,1,9,7,9,7,9,6,9,2,1,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,6,16,0,0.19,0,25,2,1,6,6,8,8,8,7,6,6,2,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,7,17,0,0.47,0,30,2,0,5,6,8,4,5,4,3,3,2,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,8,18,0,0.03,0,27,2,0,6,7,8,7,8,5,7,6,2,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,9,19,1,0.46,0,28,2,1,6,7,7,6,6,6,6,6,2,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
6,0,1,10,10,20,0,0.43,0,24,2,0,7,10,10,6,10,7,6,7,2,23,law,4,1,1,MD,20878,60304,1,3,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,10,25,20,25,5,15
7,0,1,10,1,11,0,0.19,0,27,2,0,7,8,8,8,7,7,7,4,2,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,2,12,0,0.21,0,22,2,1,7,9,10,6,6,5,8,4,1,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,3,13,0,0.52,1,22,4,1,10,10,10,10,10,10,10,10,,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,4,14,1,-0.46,0,23,2,1,8,8,9,8,9,9,8,7,1,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,5,15,0,-0.27,0,24,3,1,8,7,9,6,9,5,8,4,2,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,6,16,0,0.59,0,25,2,1,8,8,8,6,6,6,7,7,2,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,7,17,0,0.31,0,30,2,0,7,6,5,4,4,3,5,4,2,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,8,18,0,0.08,0,27,2,1,8,7,6,7,7,5,7,5,2,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,9,19,1,-0.34,0,28,2,1,9,7,9,9,9,10,9,9,2,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
7,0,1,10,10,20,0,-0.16,0,24,2,0,7,6,8,6,8,7,7,7,2,22,Law,4,2,4,Southern California,91360,54620,1,5,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,15,15,25,20,15,10
8,0,1,10,1,11,0,-0.03,1,27,2,0,8,7,6,6,6,5,7,4,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,2,12,1,-0.11,1,22,2,1,8,8,10,7,6,5,9,4,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,3,13,1,0.42,0,22,4,1,10,10,10,10,10,10,10,10,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,4,14,1,-0.4,1,23,2,1,8,8,8,8,8,7,8,7,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,5,15,1,-0.23,0,24,3,1,9,9,8,9,,7,9,7,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,6,16,1,0.28,1,25,2,1,8,7,7,7,8,7,7,6,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,7,17,0,0.05,1,30,2,0,6,4,7,5,6,4,4,4,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,8,18,1,0.17,1,27,2,1,9,8,8,8,7,5,7,5,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,9,19,1,-0.47,1,28,2,1,8,7,8,10,8,10,8,8,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
8,0,1,10,10,20,1,-0.21,1,24,2,1,8,10,9,9,8,8,8,8,2,25,Masters in Public Administration,2,1,1,"London, England",0,,1,5,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10,9.09,18.18,27.27,18.18,18.18,9.09
9,0,1,10,1,11,0,0.19,0,27,2,0,6,8,7,8,7,5,6,4,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
9,0,1,10,2,12,1,0.03,0,22,2,1,8,8,10,7,6,5,8,4,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
9,0,1,10,3,13,1,0.68,0,22,4,1,10,10,10,10,10,10,10,10,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
340,1,13,10,3,324,1,,0,23,2,1,8,9,9,9,9,9,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,1,10,4,14,1,-0.26,0,23,2,1,7,8,7,8,8,7,7,7,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
9,0,1,10,5,15,1,-0.01,0,24,3,1,7,9,8,9,7,7,7,8,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
9,0,1,10,6,16,1,0.42,0,25,2,1,6,6,7,8,7,7,6,5,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
9,0,1,10,7,17,1,0.21,0,30,2,1,8,6,7,8,6,5,8,4,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
9,0,1,10,8,18,0,0.1,0,27,2,0,7,7,7,7,6,5,7,5,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
9,0,1,10,9,19,1,-0.35,0,28,2,1,6,6,6,7,6,6,6,6,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
9,0,1,10,10,20,0,-0.23,0,24,2,0,5,6,6,6,6,6,6,6,2,26,Masters in Public Administration,6,1,1,"Palm Springs, California",0,,1,4,"Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,20,10,20,30,10,10
10,0,1,10,1,11,0,0.3,1,27,2,0,7,8,7,8,6,5,6,3,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
10,0,1,10,2,12,0,0.65,1,22,2,0,1,1,1,1,1,1,1,1,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
10,0,1,10,3,13,1,-0.15,0,22,4,1,10,10,10,10,10,10,10,10,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
10,0,1,10,4,14,0,0.17,1,23,2,1,7,8,7,9,8,8,7,7,1,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
10,0,1,10,5,15,0,0.24,0,24,3,1,6,9,9,7,8,,6,6,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
13,1,1,10,3,3,0,0.09,0,25,2,0,7,9,9,7,9,7,8,7,2,22,Law,4,3,5,Southern California,92821,,2,7,Lawyer,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4,19,18,19,18,14,12
10,0,1,10,6,16,0,0.15,1,25,2,0,,8,7,7,7,7,6,6,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
10,0,1,10,7,17,0,0.41,1,30,2,0,7,7,4,3,4,4,3,6,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
10,0,1,10,8,18,0,0.07,1,27,2,0,6,6,6,6,6,5,7,6,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
10,0,1,10,9,19,1,0.49,1,28,2,1,7,7,7,7,6,6,7,8,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
10,0,1,10,10,20,0,0.08,1,24,2,0,6,6,6,6,6,6,7,7,2,26,Masters of Social Work&Education,2,4,4,94115,19335,48652,2,6,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10,15,15,15,40,10,5
11,1,1,10,1,1,0,0.14,0,21,4,1,6,9,7,7,6,5,7,6,2,27,Finance,2,7,3,Argentina,0,,1,5,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5
11,1,1,10,2,2,0,0.29,1,24,2,0,5,7,8,4,6,3,6,4,2,27,Finance,2,7,3,Argentina,0,,1,5,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5
